Years,Months,L.ht,M.ht,S.ht,L.wt,M.wt,S.wt,sex
3.58333333,42.99999996,1,99.6795,0.0412,-0.3296,15.1573,0.1346,2
3.66666667,44.00000004,1,100.3058,0.04135,-0.3309,15.341,0.13545,2
3.75,45,1,100.9238,0.0415,-0.3322,15.524,0.1363,2
3.83333333,45.99999996,1,101.5337,0.04164,-0.3335,15.7064,0.13716,2
3.91666667,47.00000004,1,102.136,0.04179,-0.3348,15.8882,0.138,2
4,48,1,102.7312,0.04193,-0.3361,16.0697,0.13884,2
4.08333333,48.99999996,1,103.3197,0.04206,-0.3374,16.2511,0.13968,2
4.16666667,50.00000004,1,103.9021,0.0422,-0.3387,16.4322,0.14051,2
4.25,51,1,104.4786,0.04233,-0.34,16.6133,0.14132,2
4.33333333,51.99999996,1,105.0494,0.04246,-0.3414,16.7942,0.14213,2
4.41666667,53.00000004,1,105.6148,0.04259,-0.3427,16.9748,0.14293,2
4.5,54,1,106.1748,0.04272,-0.344,17.1551,0.14371,2
4.58333333,54.99999996,1,106.7295,0.04285,-0.3453,17.3347,0.14448,2
4.66666667,56.00000004,1,107.2788,0.04298,-0.3466,17.5136,0.14525,2
4.75,57,1,107.8227,0.0431,-0.3479,17.6916,0.146,2
4.83333333,57.99999996,1,108.3613,0.04322,-0.3492,17.8686,0.14675,2
4.91666667,59.00000004,1,108.8948,0.04334,-0.3505,18.0445,0.14748,2
5,60,1,109.4233,0.04347,-0.3518,18.2193,0.14821,2
